TITLE,A1,A2,JOURNAL,YEAR,AGE,Rank,H Count,IN PRESS,2002,2003,2004,2005,2006,2007,,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,TOTAL,salt,salted,GOOGLE,Cites Per Year,C+12,R+12,H+12,C+24,R+24,H+24,C+24,R+24,H+36,>100,>100+12,>100+24,>100+36,*,H
Determinants of woody cover in African savannas: A continental scale analysis,"Sankaran, M","Hanan, N",Nature,2005,17,1,1,0,,,,0,11,32,,50,61,67,71,84,78,69,72,101,95,104,95,90,83,20,1183,0.8,1183.8,"1,702",65.7,1249,1,1,1314,1,1,1380,1,1,1,1,1,1,1,1
Validation of SMAP surface soil moisture products with core validation sites,"Colliander, A","Jackson, TJ",Remote Sensing of Environment,2017,5,2,1,,,,,,,,,,,,,,,,,,22,69,87,85,70,23,356,0.4,356.4,369,59.3,415,2,1,475,2,1,534,2,1,1,1,1,1,1,2
On the Use of Unmanned Aerial Systems for Environmental Monitoring,"Manfreda, S.","McCabe, M.",Remote Sensing  ,2018,4,3,1,,,,,,,,,,,,,,,,,,,18,55,82,91,22,268,0.8,268.8,287,53.6,322,3,1,375,3,1,429,3,1,1,1,1,1,1,3
Positive feedbacks promote power-law clustering of Kalahari vegetation,"Scanlon, TM","Caylor, K.K.",Nature,2007,15,4,1,0,,,,,,2,,15,18,17,26,25,17,19,22,18,17,17,15,15,14,3,260,0.4,260.4,378,16.3,276,4,1,293,5,1,309,5,1,1,1,1,1,1,4
Photosynthetic seasonality of global tropical forests constrained by hydroclimate,"Guan, K.","Pan, M.",Nature Geoscience,2015,7,5,1,,,,,,,,,,,,,,,,5,25,24,39,42,31,57,17,240,0.5,240.5,247,30.0,270,5,1,300,4,1,330,4,1,1,1,1,1,1,5
Partitioning evapotranspiration across gradients of woody plant cover: assessment of a stable isotope technique,"Wang, L.","Caylor, K.K.",Geophysical Research Letters,2010,12,6,1,0,,,,,,,,,,3,2,13,10,12,8,12,17,33,36,23,17,7,193,0.5,193.5,179,14.8,208,6,1,223,7,1,238,7,1,1,1,1,1,1,6
Global synthesis of vegetation control on evapotranspiration partitioning,"Wang, L","Good, S.P.",Geophysical Research Letters,2014,8,7,1,,,,,,,,,,,,,,,1,10,13,19,32,32,32,36,11,186,0.1,186.1,191,20.7,207,7,1,227,6,1,248,6,1,1,1,1,1,1,7
Dryland ecohydrology and climate change: critical issues and technical advances ,"Wang, L","D'Odorico, P",Hydrology and Earth System Science,2012,10,8,1,0,,,,,,,,,,,,6,4,14,13,21,24,21,23,26,26,6,184,0.7,184.7,225,16.7,201,8,1,217,8,1,234,8,1,1,1,1,1,1,8
On soil moisture-vegetation feedbacks in dryland plant ecosystems,"D'Odorico, P","Caylor, K.K.",JGR - Biogeosciences,2007,15,9,1,0,,,,,,0,,2,7,7,8,15,14,13,13,10,19,19,21,14,16,3,181,0.8,181.8,285,11.3,192,9,1,204,9,1,215,9,1,1,1,1,1,1,9
Termite mounds can increase the robustness of dryland ecosystems to climatic change,"Bonachela, JA","Pringle, R.",Science,2015,7,10,1,,,,,,,,,,,,,,,,7,25,18,18,26,21,23,3,141,0.6,141.6,186,17.6,159,10,1,176,10,1,194,10,1,1,1,1,1,1,10
Trends in savanna structure and composition on an aridity gradient in the Kalahari,"Scholes, RJ","Dowty, PR",Journal of Vegetation Science,2002,20,11,1,0,0,6,11,9,5,5,,5,14,3,5,9,7,8,10,9,5,7,3,3,4,3,131,0.3,131.3,205,6.2,137,11,1,143,12,1,150,12,1,1,1,1,1,0,11
Determining land surface fractional cover from NDVI and rainfall time series for a savanna ecosystem,"Scanlon, TM","Albertson, JD",Remote Sensing of Environment,2002,20,12,1,0,0,4,4,7,7,4,,5,8,6,10,7,5,7,3,6,8,8,9,8,7,1,124,0.0,124.0,217,5.9,130,12,1,136,13,1,142,13,1,1,1,1,1,0,12
Climatological determinants of woody cover in Africa,"Good, SP","Caylor, K.K.",Proceedings of the National Academy of Sciences,2011,11,13,1,0,,,,,,,,,,,2,9,12,5,12,11,13,14,13,15,6,1,113,1.0,114.0,149,9.4,122,14,1,132,14,1,141,14,1,1,1,1,1,0,13
Measurements and Observations in the XXI century (MOXXI): innovation and multidisciplinarity to sense the hydrological cycle,"Flavia, T.","Selker, J.",Hydrological Sciences Journal,2018,4,14,1,,,,,,,,,,,,,,,,,,,23,24,37,18,3,105,0.8,105.8,116,21.0,126,13,1,147,11,1,168,11,1,1,1,1,1,1,14
Terrestrial hydrological controls on land surface phenology of African savannas and woodlands,"Guan, K.","Wood, E.F.",JGR - Biogeosciences,2014,8,15,1,,,,,,,,,,,,,,,1,4,8,21,14,14,18,9,3,92,0.7,92.7,107,10.2,102,15,1,112,15,1,123,15,1,0,1,1,1,0,15
