Year,Month,#,CODE,Authors,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,Conference,Location,Invited,Organization,Pages,Title,Volume,Eval,Given?
2021,9,P,C21P,"Stanaćević, M; Ahmad, A.; Sha, X.; Athalye, A.; Das, S.; Caylor, K.K; Glisić, B.; Djurić, P.M.","Stanaćević, M.","Ahmad, A.","Sha, X.","Athalye, A.",Das. S.,"Caylor, K.K.","Glisić, B.","Djurić, P.M.",,,,,,,,,,,,,,International Balkan Conference on Communications and Networking (BalkanCom),"Novi Sad, Serbia",0,,,RF Backscatter-Based Sensors for Structural Health Monitoring,,1,
2021,12,O,C21O,"Meerdink, S.; Roberts, D.A.; King, J.Y.; Roth, K.; Gader, P.; Caylor, K.K.","Meerdink, S.","Roberts, D.A.","King, J.Y.","Roth, K.","Gader, P.","Caylor, K.K.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,Monitoring Water Stress of Southern California Plant Species During the 2013–2015 Drought Using Hyperspectral and Thermal Airborne Imagery,,1,
2021,12,N,C21N,"Zahn, E.; Bou-Zeid, E.; Good, S.P.; Katul, G.G.; Thomas, C.K; Ghana, K.; Smith, J.A.; Chamecki, M.; Dias, N; Fuentes, J.D.; Alfieri, J.G.; Kwon, H.; Caylor, K.K; Gao, Z.; Soderberg, K.; Bambach, N.E.; Hipps, L. Prueger, J.H.; Kustas, W.P.","Zahn, E.","Bou-Zeid, E.","Good, S.P.","Katul, G.G.","Thomas, C.K.","Ghannam, K.","Smith, J.A. ","Chamecki, M.","Dias, N.L.","Fuentes, J.D.","Alfieri, J.G.","Kwon, H.","Caylor, K.K.","Gao, Z.","Soderberg, K.","Bambach, N.E.","Hipps, L.","Prueger, J.H.","Kustas, W.P.",,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,Experimental and Numerical Investigation of Flux Partitioning methods for water vapor and carbon dioxide,,1,
2021,12,M,C21M,"McMahon, C.; Roberts, D.A.; Singer, M.B.; Caylor, K.K.; Stella, J.C.","McMahon, C.","Roberts, D.A.","Singer, M.B.","Caylor, K.K.","Stella, J.C.",,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,Phenological Classification and Atmospheric Drought Response of Riparian Vegetation in Drylands of the Southwestern United States,,1,
2021,12,L,C21L,"Kibler, C.L.; Roberts, D.A.; Trugman, A.T.; Caylor, K.K.; Stella, J.C.; Singer, M.B.","Kibler, C.L.","Roberts, D.A.","Trugman, A.T.","Caylor, K.K.","Stella, J.C.","Singer, M.B.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,Drought Responsiveness of Evapotranspiration in Dryland Riparian Vegetation,,1,
2021,12,K,C21K,"Stella, J.C.; Williams, J.; Pelletier, L.; Kibler, C.L.; Rohde, M.M.; Singer, M.B.; Roberts, D.A.; Caylor, K.K.; Lambert, A.","Stella, J.C.","Williams, J.","Pelletier, L.","Kibler, C.L.","Rohde, M.M.","Singer, M.B.","Roberts, D.A.","Caylor, K.K.","Lambert, A.",,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,Water Stress in Riparian Woodlands from Groundwater Decline and Climate Change—Ecosystem Indicators at Multiple Scales,,1,
2021,12,J,C21J,"Water, M.M; Singer, M.B.; Stella, J.C.; Caylor, K.K.; Roberts, D.A.; Sabathier, R.","Warter, M.M.","Singer, M.B.","Stella, J.C.","Caylor, K.K.","Roberts, D.A.","Sabathier, R.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,Hydroclimatic Controls on Phenology for Functional Plant Types in Drylands of the Southwest USA,,1,
2021,12,I,C21I,"Sabathier, R; Singer, M.; Stella, J.; Caylor, K.K; Roberts, D.; Jaeger, K.; Olden, J.D.","Sabathier, R.","Singer, M.B.","Stella, J.C.","Caylor, K.K.","Roberts, D.A.","Jaeger, K.L.","Olden, J.D.",,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,"Flow Permanence Along Ephemeral Streams in the Huachuca Sky Island, Arizona and its Consequences for Vegetation Distribution",,1,
2021,12,H,C21H,"Morgan, B.E.; Caylor, K.K.","Morgan, B.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,A novel UAV-based approach for estimating evapotranspiration from thermal imagery at multiple scales,,1,
2021,12,G,C21G,"Xiong, S.; Vergopolan, N; Cecil, M; Caylor, KK; Krell, N; Konar, M; Evans, T; Baylis, K; Estes, LD","Xiong, S.","Vergopolan, N.","Cecil, M.","Caylor, K.K.","Krell, N.","Konar, M.","Evans, T.","Baylis, K.","Estes, L.D.",,,,,,,,,,,,,American Geophysical Union Fall Meeting,"New Orleans, LA",0,,,Leveraging High-resolution Gridded Datasets and AquaCrop to Improve Remote Sensing-based Estimates of Smallholder Maize Yields,,1,
