Year,Date,Role,Journal or Agency,Eval,Count
2021,6/21,Editor,Earth’s Future,1,9
2021,3/21,Editor,Earth’s Future,1,9
2020,12/20,Editor,Earth’s Future,1,11
2020,9/20,Editor,Earth’s Future,1,12
2020,6/20,Editor,Earth’s Future,1,6
2020,3/20,Editor,Earth’s Future,1,10
2020,12/20,Referee,New Phytologist,1,1
2020,2/20,Referee,Proceedings of the National Academy of Sciences,1,1
2020,4/20,Referee,Nature Sustainability,1,1
2021,2/21,Referee,One Earth,1,1
2018,12/18,Referee,Agricultural and Forest Meteorology,1,1
2019,1/18,Referee,Water Resources Research,1,1
2018,12/18,Referee,Communications Biology,1,1
2018,12/18,Referee,Progress in Physical Geography,1,1
2018,12/18,Referee,Nature Communications,1,1
2018,11/18,Referee,Nature Climate Change,1,1
2018,11/18,Referee,Nature Climate Change,1,1
2018,8/18,Referee,Journal of Water Resources Planning & Management,1,1
2018,8/18,Referee,Nature Climate Change,1,1
2018,7/18,Referee,Water Resources Research,1,1
2018,7/18,Referee,Landscape Ecology,1,1
2018,7/18,Referee,Biology Letters,1,1
2018,5/18,Referee,JGR Biogeosciences,0,1
2018,5/18,Referee,PLOS One,0,1
2018,4/18,Referee,Global and Planetary Change,0,1
2018,4/18,Referee,Environmental Research Letters,0,1
2018,3/18,Referee,Mountain Research and Development ,0,1
2018,3/18,Referee,Agricultural and Forest Meteorology,0,1
2018,3/18,Referee,Journal of Water Resources Planning & Management,0,1
2018,2/18,Referee,Environmental Research Letters,0,1
2018,2/18,Referee,Nature Climate Change,0,1
2018,2/18,Referee,PLOS One,0,1
2018,4/18,Referee,NSF Hydrological Sciences,0,1
2017,11/17,Referee,Earth and Space Science,0,1
2017,11/17,Referee,Environmental Research Letters,0,1
2017,10/17,Referee,Environmental Research Letters,0,1
2017,9/17,Referee,Water Resources Research,0,1
2017,9/17,Referee,Environmental Research Letters,0,1
2017,5/17,Referee,Geophysical Research Letters,0,1
2017,3/17,Referee,Environmental Research Letters,0,1
2017,1/17,Referee,Nature Communications,0,1
2016,10/16,Referee,NSF Hydrological Sciences,0,1
2016,9/16,Referee,Environmental Research Letters,0,1
2016,12/16,Referee,Geophysical Research Letters,0,1
2016,2/16,Referee,Hydrology and Earth System Science,0,1
2016,2/16,Referee,Water Resources Research,0,1
2016,1/16,Referee,Global Change Biology,0,1
2016,12/16,Referee,Geophysical Research Letters,0,1
2015,11/15,Referee,Environmental Research Letters,0,1
2015,7/15,Referee,Environmental Research Letters,0,1
2015,5/15,Referee,Agricultural and Forest Meteorology,0,1
2012,1/12,Referee,Agricultural and Forest Meteorology,0,1
2011,9/11,Referee,Agricultural and Forest Meteorology,0,1
2011,3/11,Referee,Agricultural and Forest Meteorology,0,1
2010,1/10,Referee,Agricultural and Forest Meteorology,0,1
