Year,Type,Role,Committee,Notes,Eval,Sort Year
2021 - 2022,U,Chair,"Dangermond Endowed Chair Search Committee, Office of Research",,0,2021
2021 - 2022,U,Chair,NCEAS Campus Advisory Committee ,,0,2021
2020 - 2021,U ,Director,"Earth Research Institute, University of California, Santa Barbara",,1,2020
2020 - 2021,U ,Member,"Ellison Hall Building Committee, Earth Research Institute, University of California, Santa Barbara",,1,2020
2020 - 2021,U,Chair,"Earth Research Institute, Personnel Committee",,1,2020
2020 - 2021,U,Chair,NCEAS Campus Advisory Committee ,,1,2020
2020 - 2021,U,Ex-Officio Member,"Earth Research Institute Computing Committee, UCSB",,1,2020
2020 - 2021,U,Ex-Officio Member,"Earth Research Institute Advisory Committee, UCSB",,1,2020
2020 - 2021,U,Member,North Campus Open Space Administrative Advisory Group,,1,2020
2020 - 2021,U,Member,"Steering Committee, Climate Hazards Center, UCSB",,1,2020
2020 - 2021,U,Member,Campus Data Science Initiative Working Group,,1,2020
2020 - 2021,U,Member,"Offsite Research Committee, University of California, Santa Barbara",,1,2020
2020 - 2021,U,Participating Faculty,Interdepartmental PhD Emphasis in Environment and Society,,1,2020
2020 - 2021,D,Chair,"Space Committee, Department of Geography, University of California, Santa Barbara",,1,2020
2020 - 2021,D,Member,"DEI Committee, Department of Geography, UCSB",,1,2020
2020 - 2021,D,Member,"Faculty Executive Committee, Bren School of Environmental Science and Management, University of California, Santa Barbara",,1,2020
2019 - 2020,U ,Director,"Earth Research Institute, University of California, Santa Barbara",,1,2019
2019 - 2020,U ,Member ,NCEAS Campus Advisory Committee ,,1,2019
2019 - 2020,U,Chair,"Earth Research Institute, Personnel Committee",,1,2019
2019 - 2020,U,Ex-Officio Member,"Earth Research Institute Advisory Committee, UCSB",,1,2019
2019 - 2020,U,Member,"Space Committee, Office of Research",,1,2019
2019 - 2020,U,Member,"Dangermond Endowed Chair Search Committee, Office of Research",,1,2019
2019 - 2020,U,Member,North Campus Open Space Administrative Advisory Group,,1,2019
2019 - 2020,U,Member,Campus Data Science Initiative Working Group,,1,2019
2019 - 2020,U,Member,Data Science Curriculum Committee,,1,2019
2019 - 2020,U,Participating Faculty,Interdepartmental PhD Emphasis in Environment and Society,,1,2019
2019 - 2020,D,Chair,"Space Committee, Department of Geography, University of California, Santa Barbara",,1,2019
2019 - 2020,D,Member,"Group Project Committee, Bren School of Environmental Science and Management, University of California, Santa Barbara",,1,2019
2019 - 2020,D,Member,"Dangermond Endowed Chair Search Committee, Department of Geography",,1,2019
